"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Clay_Geerdes","Clay Geerdes",1934
"http://dbpedia.org/resource/John_Loengard","John Loengard",1934
"http://dbpedia.org/resource/Steve_Schapiro","Steve Schapiro",1934
"http://dbpedia.org/resource/Jim_Marshall_(photographer)","Jim Marshall (photographer)",1936
"http://dbpedia.org/resource/Dirck_Halstead","Dirck Halstead",1936
"http://dbpedia.org/resource/Bill_Owens_(photographer)","Bill Owens (photographer)",1938
"http://dbpedia.org/resource/Bill_Eppridge","Bill Eppridge",1938
"http://dbpedia.org/resource/Dana_Stone","Dana Stone",1939
"http://dbpedia.org/resource/Spider_Martin","Spider Martin",1939
"http://dbpedia.org/resource/Robert_Van_Lierop","Robert Van Lierop",1939
"http://dbpedia.org/resource/Mary_Ellen_Mark","Mary Ellen Mark",1940
"http://dbpedia.org/resource/Sean_Flynn_(photojournalist)","Sean Flynn (photojournalist)",1941
"http://dbpedia.org/resource/Bud_Lee_(photographer)","Bud Lee (photographer)",1941
"http://dbpedia.org/resource/Neil_Leifer","Neil Leifer",1942
"http://dbpedia.org/resource/Diana_Walker","Diana Walker",1942
"http://dbpedia.org/resource/Danny_Lyon","Danny Lyon",1942
"http://dbpedia.org/resource/Heinz_Kluetmeier","Heinz Kluetmeier",1942
"http://dbpedia.org/resource/Bette_Garber","Bette Garber",1942
"http://dbpedia.org/resource/Abigail_Heyman","Abigail Heyman",1942
"http://dbpedia.org/resource/Robert_A._Sengstacke","Robert A. Sengstacke",1943
"http://dbpedia.org/resource/Walter_Iooss","Walter Iooss",1943
"http://dbpedia.org/resource/Jack_Dykinga","Jack Dykinga",1943
"http://dbpedia.org/resource/Priit_Vesilind","Priit Vesilind",1943
"http://dbpedia.org/resource/Catherine_Leroy","Catherine Leroy",1944
"http://dbpedia.org/resource/Michael_Evans_(photographer)","Michael Evans (photographer)",1944
"http://dbpedia.org/resource/Stanley_Forman","Stanley Forman",1945
"http://dbpedia.org/resource/Taro_Yamasaki","Taro Yamasaki",1945
"http://dbpedia.org/resource/Matthew_Naythons","Matthew Naythons",1946
"http://dbpedia.org/resource/Richard_Drew_(photographer)","Richard Drew (photographer)",1946
"http://dbpedia.org/resource/Ronald_A._Edmonds","Ronald A. Edmonds",1946
"http://dbpedia.org/resource/Thomas_J._Kelly_III","Thomas J. Kelly III",1947
"http://dbpedia.org/resource/Bill_Biggart","Bill Biggart",1947
"http://dbpedia.org/resource/John_Hoagland","John Hoagland",1947
"http://dbpedia.org/resource/David_Hume_Kennerly","David Hume Kennerly",1947
"http://dbpedia.org/resource/Jerilyn_Lee_Brandelius","Jerilyn Lee Brandelius",1948
"http://dbpedia.org/resource/James_Nachtwey","James Nachtwey",1948
"http://dbpedia.org/resource/Diana_Mara_Henry","Diana Mara Henry",1948
"http://dbpedia.org/resource/John_Filo","John Filo",1948
"http://dbpedia.org/resource/Susan_Meiselas","Susan Meiselas",1948
"http://dbpedia.org/resource/Chip_Berlet","Chip Berlet",1949
"http://dbpedia.org/resource/Steve_McCurry","Steve McCurry",1950
"http://dbpedia.org/resource/Chris_Gulker","Chris Gulker",1951
"http://dbpedia.org/resource/Stan_Grossfeld","Stan Grossfeld",1951
"http://dbpedia.org/resource/Ken_Light_(photographer)","Ken Light (photographer)",1951
"http://dbpedia.org/resource/Sharon_Farmer","Sharon Farmer",1951
"http://dbpedia.org/resource/John_Ranard","John Ranard",1952
"http://dbpedia.org/resource/Andrea_Star_Reese","Andrea Star Reese",1952
"http://dbpedia.org/resource/Sandra_Eisert","Sandra Eisert",1952
"http://dbpedia.org/resource/Reid_Blackburn","Reid Blackburn",1952
"http://dbpedia.org/resource/Thomas_Laird","Thomas Laird",1953
"http://dbpedia.org/resource/Pete_Souza","Pete Souza",1954
"http://dbpedia.org/resource/David_C._Turnley","David C. Turnley",1955
"http://dbpedia.org/resource/Timothy_Lee_Barnwell","Timothy Lee Barnwell",1955
"http://dbpedia.org/resource/Carol_Guzy","Carol Guzy",1956
"http://dbpedia.org/resource/Jeff_Widener","Jeff Widener",1956
"http://dbpedia.org/resource/Kim_Komenich","Kim Komenich",1956
"http://dbpedia.org/resource/David_Leeson","David Leeson",1957
"http://dbpedia.org/resource/Ramona_d'Viola","Ramona d'Viola",1958
"http://dbpedia.org/resource/Raúl_De_Molina","Raúl De Molina",1959
"http://dbpedia.org/resource/George_Azar","George Azar",1959
